estate-price,estate-title,estate-subtitle,estate-rooms,estate-surface
â‚¬ 139.000,Bilocale in vendita,"Cernusco Sul Naviglio, Via Camillo Benso Conte di Cavour",2 locali,74 Mq
â‚¬ 260.000,Bilocale in vendita,"Cernusco Sul Naviglio, Via Daniele Manin",3 locali,97 Mq
â‚¬ 575.000,Quadrilocale in vendita,"Cernusco Sul Naviglio, Via Villoresi",4 locali,135 Mq
â‚¬ 890.000,Casa semindipendente in vendita,"Cernusco Sul Naviglio, Via Milano",5 locali,344 Mq
â‚¬ 550.000,Villa singola in vendita,"Cernusco Sul Naviglio, Strada Padana Superiore",,361 Mq
â‚¬ 17.000,Box / posti auto in vendita,"Cernusco Sul Naviglio, Via Pietro da Cernusco",1 locale,15 Mq
â‚¬ 545.000,Villa singola in vendita,"Cerro Maggiore, Via Alfonso Lamarmora - Cantalupo",,297 Mq
â‚¬ 380.000,Quadrilocale in vendita,"Cerro Maggiore, Via xx settembre",4 locali,401 Mq
â‚¬ 315.000,Villa a schiera in vendita,"Cerro Maggiore, Via Regina Elena - Cantalupo",3 locali,160 Mq
â‚¬ 269.000,Villa singola in vendita,"Cerro Maggiore, Via I Maggio",5 locali,200 Mq
â‚¬ 252.000,Villa singola in vendita,"Cerro Maggiore, Via Rossini",3 locali,128 Mq
â‚¬ 234.000,Casa semindipendente in vendita,"Cerro Maggiore, Via Galileo Galilei",4 locali,203 Mq
â‚¬ 194.000,Trilocale in vendita,"Cerro Maggiore, Via cappuccini",3 locali,135 Mq
â‚¬ 185.000,Villa a schiera in vendita,"Cerro Maggiore, Via Cappuccini",4 locali,127 Mq
â‚¬ 165.000,Bilocale in vendita,"Cerro Maggiore, Via petrarca",2 locali,70 Mq
â‚¬ 158.000,Casa di corte in vendita,"Cerro Maggiore, Via dante",4 locali,160 Mq
â‚¬ 140.000,Trilocale in vendita,"Cerro Maggiore, Via isonzo",3 locali,95 Mq
â‚¬ 129.000,Casa di corte in vendita,"Cerro Maggiore, Via Giuseppe Garibaldi",3 locali,78 Mq
â‚¬ 117.000,Trilocale in vendita,"Cerro Maggiore, Via V. Emanuele III - Cantalupo",3 locali,80 Mq
â‚¬ 110.000,Casa di corte in vendita,"Cerro Maggiore, Via A. Marelli",2 locali,60 Mq
â‚¬ 105.000,Bilocale in vendita,"Cerro Maggiore, Via G. Leopardi",2 locali,65 Mq
â‚¬ 28.000,Box / posti auto in vendita,"Cesano Boscone, Via Pasubio",,31 Mq
â‚¬ 190.000,Trilocale in vendita,"Cesano Boscone, Via Milano",3 locali,83 Mq
â‚¬ 135.000,Bilocale in vendita,"Cesano Boscone, Via Francesco Petrarca",2 locali,50 Mq
â‚¬ 220.000,Trilocale in vendita,"Cesano Boscone, Via Silvio Pellico",3 locali,95 Mq
â‚¬ 249.000,Trilocale in vendita,"Cesano Boscone, Via Milano",,87 Mq
â‚¬ 140.000,Bilocale in vendita,"Cesano Boscone, Via Monsignor Pogliani",2 locali,52 Mq
â‚¬ 130.000,Bilocale in vendita,"Cesano Boscone, Via Vincenzo Monti",2 locali,65 Mq
â‚¬ 280.000,Trilocale in vendita,"Cesano Boscone, Via M. Polo",3 locali,105 Mq
â‚¬ 299.000,Trilocale in vendita,"Cesano Boscone, Via M. Polo",3 locali,104 Mq
â‚¬ 223.000,Trilocale in vendita,"Cesano Boscone, Via Poliziano",3 locali,96 Mq
â‚¬ 169.000,Bilocale in vendita,"Cesano Boscone, Via Giuseppe Verdi",2 locali,75 Mq
â‚¬ 155.000,Bilocale in vendita,"Cesano Boscone, Via Isonzo",2 locali,45 Mq
â‚¬ 169.000,Bilocale in vendita,"Cesano Boscone, Via  Tigli",2 locali,71 Mq
â‚¬ 345.000,Quadrilocale in vendita,"Cesano Boscone, Via Della Repubblica",4 locali,118 Mq
â‚¬ 229.000,Trilocale in vendita,"Cesate, Via Biscia",3 locali,98 Mq
â‚¬ 210.000,Villa singola in vendita,"Cesate, Via puccini",2 locali,90 Mq
â‚¬ 199.000,Quadrilocale in vendita,"Cesate, via dei martiri",4 locali,155 Mq
â‚¬ 279.000,Villa a schiera in vendita,"Cesate, Via dante",,162 Mq
â‚¬ 172.000,Multilocale in vendita,"Cesate, via dei martiri",4 locali,135 Mq
â‚¬ 195.000,Trilocale in vendita,"Cesate, Via Carlo RomanÃ²",,99 Mq
â‚¬ 415.000,Quadrilocale in vendita,"Cesate, Via Isonzo",4 locali,154 Mq
â‚¬ 380.000,Quadrilocale in vendita,"Cesate, Via Isonzo",4 locali,141 Mq
â‚¬ 415.000,Quadrilocale in vendita,"Cesate, Via Isonzo",4 locali,141 Mq
â‚¬ 89.000,Bilocale in vendita,"Cesate, Via trento",,60 Mq
â‚¬ 109.000,Casa di corte in vendita,"Cesate, via Carlo RomanÃ²",4 locali,0 Mq
â‚¬ 362.084,Quadrilocale in vendita,"Cesate, Via Adige",4 locali,145 Mq
â‚¬ 510.586,Villa a schiera in vendita,"Cesate, Via Adige",4 locali,212 Mq
â‚¬ 267.380,Trilocale in vendita,"Cesate, Via Adige",3 locali,106 Mq
â‚¬ 367.206,Quadrilocale in vendita,"Cesate, Via Adige",4 locali,146 Mq
â‚¬ 105.000,Bilocale in vendita,"Cinisello Balsamo, Via toti - Campo Dei Fiori",2 locali,60 Mq
â‚¬ 94.000,Bilocale in vendita,"Cinisello Balsamo, Via Monte Santo - Bellaria",2 locali,45 Mq
â‚¬ 149.000,Bilocale in vendita,"Cinisello Balsamo, Via villa - Centro",2 locali,65 Mq
â‚¬ 269.000,Quadrilocale in vendita,"Cinisello Balsamo, Via Don Tazzoli - Bellaria",4 locali,105 Mq
â‚¬ 25.000,Box / posti auto in vendita,"Cinisello Balsamo, Via Francesco Guardi - Bellaria",1 locale,27 Mq
â‚¬ 83.000,Bilocale in vendita,"Cinisello Balsamo, Via Tito Speri - Campo Dei Fiori",2 locali,53 Mq
â‚¬ 125.000,Bilocale in vendita,"Cinisello Balsamo, Via Pirandello",2 locali,60 Mq
â‚¬ 170.000,Multilocale in vendita,"Cinisello Balsamo, Via I Maggio - Bellaria",3 locali,120 Mq
â‚¬ 161.000,Trilocale in vendita,"Cinisello Balsamo, Viale friuli",3 locali,75 Mq
â‚¬ 139.000,Bilocale in vendita,"Cinisello Balsamo, Via Fratelli Rosselli - Crocetta",2 locali,65 Mq
â‚¬ 150.000,Bilocale in vendita,"Cinisello Balsamo, Viale Romagna",2 locali,73 Mq
â‚¬ 130.000,Bilocale in vendita,"Cinisello Balsamo, Via Rodolfo Remigi",2 locali,70 Mq
â‚¬ 570.000,Porzione di bifamiliare in vendita,"Cinisello Balsamo, Via C. Limonta",4 locali,180 Mq
â‚¬ 399.000,Villa singola in vendita,"Cinisello Balsamo, via marco praga - Centro",7 locali,200 Mq
â‚¬ 230.000,Trilocale in vendita,"Cinisello Balsamo, via aldo beretta",3 locali,95 Mq
â‚¬ 155.000,Bilocale in vendita,"Cisliano, Via Karol Wojtyla",2 locali,61 Mq
â‚¬ 100.000,Bilocale in vendita,"Cisliano, Via Armando Diaz",2 locali,50 Mq
â‚¬ 288.000,Trilocale in vendita,"Cisliano, Viale Leonardo Da Vinci",3 locali,
â‚¬ 247.000,Trilocale in vendita,"Cisliano, Via Karol Wojtyla",3 locali,90 Mq
â‚¬ 145.000,Bilocale in vendita,"Cisliano, Via Mameli",2 locali,92 Mq
â‚¬ 184.000,Trilocale in vendita,"Cisliano, Via Francesco Petrarca",3 locali,85 Mq
â‚¬ 219.000,Trilocale in vendita,"Cisliano, Piazza San Giovanni",3 locali,110 Mq
â‚¬ 369.000,Trilocale in vendita,"Cologno Monzese, Via Umberto Giordano",3 locali,110 Mq
â‚¬ 137.000,Bilocale in vendita,"Cologno Monzese, Viale Lombardia",2 locali,70 Mq
â‚¬ 179.000,Trilocale in vendita,"Cologno Monzese, Via della Repubblica - San Maurizio Al Lambro",3 locali,90 Mq
â‚¬ 209.000,Trilocale in vendita,"Cologno Monzese, Viale Lombardia",3 locali,90 Mq
â‚¬ 65.000,Multilocale in vendita,"Cologno Monzese, Viale Umbria",1 locale,100 Mq
â‚¬ 199.000,Trilocale in vendita,"Cologno Monzese, Via per Imbersago",3 locali,90 Mq
â‚¬ 150.000,Trilocale in vendita,"Cologno Monzese, Viale Toscana",3 locali,65 Mq
â‚¬ 279.000,Trilocale in vendita,"Cologno Monzese, Viale Europa",3 locali,155 Mq
â‚¬ 150.000,Trilocale in vendita,"Colturano, Via Papa Giovanni XXIII",3 locali,80 Mq
â‚¬ 125.000,Bilocale in vendita,"Corbetta, Via della Madonna",2 locali,98 Mq
â‚¬ 163.000,Trilocale in vendita,"Corbetta, Via Corpo degli Alpini",3 locali,113 Mq
â‚¬ 59.000,Rustico in vendita,"Corbetta, Via Casnati - Cerello",4 locali,150 Mq
â‚¬ 119.500,Casa di corte in vendita,"Corbetta, Via Ernesto Parini - Battuello",3 locali,114 Mq
â‚¬ 179.000,Trilocale in vendita,"Corbetta, Via A. Volta",3 locali,95 Mq
â‚¬ 245.000,Casa semindipendente in vendita,"Corbetta, Via C. Cattaneo",5 locali,164 Mq
â‚¬ 14.500,Box / posti auto in vendita,"Corbetta, Viale Europa",,14 Mq
â‚¬ 13.000,Box / posti auto in vendita,"Corbetta, Via Papa Giovanni Paolo II",,14 Mq
â‚¬ 11.000,Box / posti auto in vendita,"Corbetta, Via Trento",,12 Mq
â‚¬ 11.000,Box / posti auto in vendita,"Corbetta, Via Don Giuseppe Sala",,14 Mq
â‚¬ 12.000,Box / posti auto in vendita,"Corbetta, Via Palmiro Togliatti",,20 Mq
â‚¬ 9.900,Box / posti auto in vendita,"Corbetta, Via Achille Grandi",,17 Mq
â‚¬ 2.500,Posto auto in vendita,"Corbetta, Via Palmiro Togliatti",,12 Mq
â‚¬ 115.000,Bilocale in vendita,"Corbetta, Via Fausto Coppi",2 locali,65 Mq
â‚¬ 335.000,Villa singola in vendita,"Corbetta, Via Padre Ceriani",6 locali,311 Mq
â‚¬ 18.000,Box / posti auto in vendita,"Cormano, Via Po - Ospitaletto",1 locale,13 Mq
â‚¬ 830.000,Casa indipendente in vendita,"Cormano, Via SS 35 dei Giovi - Ospitaletto",5 locali,1330 Mq
â‚¬ 235.000,Trilocale in vendita,"Cormano, Via L. Cadorna",3 locali,95 Mq
â‚¬ 189.000,Trilocale in vendita,"Cormano, Via 4 novembre - Ospitaletto",3 locali,100 Mq
â‚¬ 498.000,Villa singola in vendita,"Cormano, Via Cascina Mangiagalli",3 locali,220 Mq
â‚¬ 345.000,Porzione di bifamiliare in vendita,"Cormano, Via piave - Ospitaletto",4 locali,108 Mq
â‚¬ 253.000,Trilocale in vendita,"Cormano, Via Vigorelli - Ospitaletto",3 locali,95 Mq
â‚¬ 105.000,Monolocale in vendita,"Cormano, Via Gianni Rodari - FornasÃ¨",1 locale,40 Mq
â‚¬ 99.000,Bilocale in vendita,"Cormano, Via figini",2 locali,56 Mq
â‚¬ 110.000,Bilocale in vendita,"Cormano, Via figini",2 locali,56 Mq
â‚¬ 195.000,Bilocale in vendita,"Cormano, Via Cesare Acquati - Brusuglio",2 locali,76 Mq
â‚¬ 119.000,Bilocale in vendita,"Cormano, via gramsci",2 locali,55 Mq
â‚¬ 149.000,Bilocale in vendita,"Cormano, Via lario",2 locali,65 Mq
â‚¬ 349.000,Quadrilocale in vendita,"Cormano, Via Cantinotti - Ospitaletto",4 locali,115 Mq
â‚¬ 25.000,Rustico in vendita,"Cormano, via d'annunzio - Ospitaletto",2 locali,22 Mq
â‚¬ 89.000,Bilocale in vendita,"Cornaredo, Via Guglielmo Marconi - San Pietro All'Olmo",2 locali,50 Mq
â‚¬ 125.000,Bilocale in vendita,"Cornaredo, Via Leonardo Da Vinci - San Pietro All'Olmo",2 locali,70 Mq
â‚¬ 93.000,Bilocale in vendita,"Cornaredo, Via lamberti - San Pietro All'Olmo",2 locali,62 Mq
â‚¬ 99.000,Bilocale in vendita,"Cornaredo, Via lamberti - San Pietro All'Olmo",2 locali,62 Mq
â‚¬ 165.000,Trilocale in vendita,"Cornaredo, Via V. Veneto - San Pietro All'Olmo",3 locali,85 Mq
â‚¬ 195.000,Trilocale in vendita,"Cornaredo, Via leonardo da vinci - San Pietro All'Olmo",3 locali,101 Mq
â‚¬ 178.000,Trilocale in vendita,"Cornaredo, Via Mazzini",3 locali,87 Mq
â‚¬ 268.000,Trilocale in vendita,"Cornaredo, Via Brera",3 locali,102 Mq
â‚¬ 150.000,Trilocale in vendita,"Cornaredo, Via filanda - San Pietro All'Olmo",3 locali,110 Mq
â‚¬ 150.000,Trilocale in vendita,"Cornaredo, Via monzoro - San Pietro All'Olmo",3 locali,70 Mq
â‚¬ 195.000,Quadrilocale in vendita,"Cornaredo, Via vittorio veneto - San Pietro All'Olmo",4 locali,100 Mq
â‚¬ 220.000,Trilocale in vendita,"Cornaredo, Via marconi - San Pietro All'Olmo",3 locali,105 Mq
â‚¬ 165.000,Trilocale in vendita,"Cornaredo, Via Cristoforo Colombo - San Pietro All'Olmo",3 locali,85 Mq
â‚¬ 255.000,Quadrilocale in vendita,"Cornaredo, Via Enrico Mattei",4 locali,110 Mq
â‚¬ 230.000,Trilocale in vendita,"Corsico, Via Delle Rose",3 locali,105 Mq
â‚¬ 175.000,Bilocale in vendita,"Corsico, Via NiccolÃ² Copernico",2 locali,75 Mq
â‚¬ 179.000,Trilocale in vendita,"Corsico, Via Eugenio Curiel",3 locali,87 Mq
â‚¬ 80.000,Monolocale in vendita,"Corsico, Via Vincenzo Monti",1 locale,25 Mq
â‚¬ 138.000,Bilocale in vendita,"Corsico, Via IV Novembre",2 locali,50 Mq
â‚¬ 170.000,Trilocale in vendita,"Corsico, Piazza Europa",3 locali,95 Mq
â‚¬ 175.000,Bilocale in vendita,"Corsico, Via IV Novembre",2 locali,70 Mq
â‚¬ 168.000,Bilocale in vendita,"Corsico, Via VIII Maggio",2 locali,75 Mq
â‚¬ 270.000,Trilocale in vendita,"Corsico, Piazza Europa",3 locali,95 Mq
â‚¬ 91.000,Bilocale in vendita,"Corsico, Via XXIV Maggio",2 locali,50 Mq
â‚¬ 250.000,Trilocale in vendita,"Corsico, Via Xxiv Maggio",3 locali,100 Mq
â‚¬ 130.000,Bilocale in vendita,"Corsico, Via fiume",2 locali,50 Mq
â‚¬ 209.000,Trilocale in vendita,"Corsico, Via roma",3 locali,75 Mq
â‚¬ 118.000,Bilocale in vendita,"Corsico, Via monti",2 locali,60 Mq
â‚¬ 135.000,Bilocale in vendita,"Corsico, Via monti",2 locali,55 Mq
â‚¬ 20.000,Casa di corte in vendita,"Cuggiono, Via E.Villoresi",1 locale,35 Mq
â‚¬ 135.000,Ter. residenziale in vendita,"Cuggiono, Via A. Annoni",,1530 Mq
â‚¬ 29.000,Casa di corte in vendita,"Cuggiono, Via E.Villoresi",,50 Mq
â‚¬ 180.000,Casa indipendente in vendita,"Cuggiono, Via A. Annoni",3 locali,195 Mq
â‚¬ 85.000,Casa di corte in vendita,"Cuggiono, Largo Europa",2 locali,64 Mq
â‚¬ 189.000,Casa di corte in vendita,"Cuggiono, Via Geltrude Beolchi",4 locali,125 Mq
â‚¬ 105.000,Ter. residenziale in vendita,"Cuggiono, Via Fossati",,1176 Mq
â‚¬ 99.000,Trilocale in vendita,"Cuggiono, Via F.lli Piazza",3 locali,101 Mq
â‚¬ 135.000,Trilocale in vendita,"Cuggiono, Largo Europa",3 locali,89 Mq
â‚¬ 292.000,Trilocale in vendita,"Cusago, Via Giuseppe Ungaretti",3 locali,92 Mq
â‚¬ 395.000,Villa a schiera in vendita,"Cusago, Via Gerli - Monzoro",6 locali,212 Mq
â‚¬ 220.000,Trilocale in vendita,"Cusago, Via Grassi Soncino",3 locali,85 Mq
â‚¬ 195.200,Bilocale in vendita,"Cusago, Via Cisliano",2 locali,61 Mq
â‚¬ 130.000,Monolocale in vendita,"Cusago, Via Cisliano",1 locale,40 Mq
â‚¬ 145.000,Monolocale in vendita,"Cusago, Via Cisliano",1 locale,46 Mq
â‚¬ 330.000,Trilocale in vendita,"Cusano Milanino, Via C. Sormani",3 locali,103 Mq
â‚¬ 259.000,Trilocale in vendita,"Cusano Milanino, Viale G. Marconi",3 locali,95 Mq
â‚¬ 364.000,Trilocale in vendita,"Cusano Milanino, Viale G. Matteotti",3 locali,100 Mq
â‚¬ 209.000,Trilocale in vendita,"Cusano Milanino, Via Lecco",3 locali,90 Mq
â‚¬ 220.000,Trilocale in vendita,"Cusano Milanino, Via Monte Cervino",3 locali,86 Mq
â‚¬ 299.000,Trilocale in vendita,"Cusano Milanino, Via Mazzini",3 locali,96 Mq
â‚¬ 125.000,Trilocale in vendita,"Cusano Milanino, Via Nazario Sauro",3 locali,85 Mq
â‚¬ 245.000,Trilocale in vendita,"Cusano Milanino, Viale Unione - Milanino",3 locali,90 Mq
â‚¬ 79.000,Bilocale in vendita,"Cusano Milanino, Via E. Pedretti",2 locali,45 Mq
â‚¬ 175.000,Bilocale in vendita,"Cusano Milanino, Viale Piemonte - Milanino",2 locali,60 Mq
â‚¬ 155.000,Trilocale in vendita,"Cusano Milanino, Viale Luigi Buffoli - Milanino",3 locali,75 Mq
â‚¬ 279.000,Trilocale in vendita,"Cusano Milanino, Viale Cooperazione - Milanino",3 locali,108 Mq
â‚¬ 349.000,Trilocale in vendita,"Cusano Milanino, Viale G. Matteotti",3 locali,140 Mq
â‚¬ 199.000,Trilocale in vendita,"Cusano Milanino, Via C. Sormani",3 locali,80 Mq
â‚¬ 199.000,Trilocale in vendita,"Cusano Milanino, Viale Piemonte - Milanino",3 locali,87 Mq
â‚¬ 93.000,Bilocale in vendita,"Dairago, Piazza Mazzini",2 locali,64 Mq
â‚¬ 120.000,Bilocale in vendita,"Dairago, Via Privata Legnano",2 locali,63 Mq
â‚¬ 215.000,Trilocale in vendita,"Dairago, Via Crespi Don Paolo",3 locali,135 Mq
â‚¬ 300.000,Porzione di quadrifamiliare in vendita,"Gaggiano, Via Fratelli Cervi - Vigano",5 locali,227 Mq
â‚¬ 219.000,Trilocale in vendita,"Gaggiano, Via Giancarlo Puecher",3 locali,106 Mq
â‚¬ 225.000,Trilocale in vendita,"Gaggiano, Via Italia",3 locali,83 Mq
â‚¬ 135.000,Trilocale in vendita,"Gaggiano, Via S. Invenzio",3 locali,77 Mq
â‚¬ 218.000,Trilocale in vendita,"Gaggiano, Via Arturo Toscanini",3 locali,114 Mq
â‚¬ 385.000,Villa a schiera in vendita,"Garbagnate Milanese, Via Antonio Vivaldi - Bariana",4 locali,134 Mq
â‚¬ 234.000,Porzione di bifamiliare in vendita,"Garbagnate Milanese, Via Ticino",3 locali,115 Mq
â‚¬ 130.000,Bilocale in vendita,"Garbagnate Milanese, Via Signorelli - Santa Maria Rossa",2 locali,52 Mq
â‚¬ 79.000,Bilocale in vendita,"Garbagnate Milanese, Via Alessandro Volta",2 locali,51 Mq
â‚¬ 360.000,Villa a schiera in vendita,"Garbagnate Milanese, Via Monte Nero - Bariana",,131 Mq
â‚¬ 265.000,Porzione di trifamiliare in vendita,"Garbagnate Milanese, Via G. Mazzini - Bariana",4 locali,133 Mq
â‚¬ 229.000,Trilocale in vendita,"Garbagnate Milanese, Via Biscia",3 locali,98 Mq
â‚¬ 75.000,Casa di corte in vendita,"Garbagnate Milanese, Via Monte Nero - Bariana",2 locali,60 Mq
â‚¬ 380.000,Villa singola in vendita,"Garbagnate Milanese, Via Silvio Pellico",5 locali,170 Mq
â‚¬ 258.000,Porzione di quadrifamiliare in vendita,"Garbagnate Milanese, Via Lorenzo Meroni - Santa Maria Rossa",3 locali,170 Mq
â‚¬ 160.000,Trilocale in vendita,"Garbagnate Milanese, Via monviso - Santa Maria Rossa",3 locali,107 Mq
â‚¬ 95.000,Bilocale in vendita,"Garbagnate Milanese, Via Monviso - Santa Maria Rossa",2 locali,62 Mq
â‚¬ 134.000,Bilocale in vendita,"Garbagnate Milanese, Via Silvio Pellico",2 locali,70 Mq
â‚¬ 245.000,Villa a schiera in vendita,"Garbagnate Milanese, via Giuseppe Valli - Santa Maria Rossa",3 locali,103 Mq
â‚¬ 235.000,Quadrilocale in vendita,"Garbagnate Milanese, Via Resegone",4 locali,116 Mq
â‚¬ 430.000,Porzione di bifamiliare in vendita,"Gessate, Via Antonio Gramsci",4 locali,169 Mq
â‚¬ 310.000,Quadrilocale in vendita,"Gessate, Via S. Pancrazio",4 locali,210 Mq
â‚¬ 228.000,Trilocale in vendita,"Gessate, Via Giuseppe Garibaldi",3 locali,95 Mq
â‚¬ 115.000,Bilocale in vendita,"Gessate, Via Massimo D'Azeglio",1 locale,55 Mq
â‚¬ 190.000,Trilocale in vendita,"Gessate, Viale A. de Gasperi",3 locali,103 Mq
â‚¬ 240.000,Quadrilocale in vendita,"Gessate, porzione di bifamiliare via brianza 25",4 locali,110 Mq
â‚¬ 95.000,Bilocale in vendita,"Gessate, Viale Europa",2 locali,73 Mq
â‚¬ 220.000,Trilocale in vendita,"Gessate, Viale A. de Gasperi",3 locali,115 Mq
â‚¬ 115.000,Bilocale in vendita,"Gessate, appartamento Via Massimo D'Azeglio",2 locali,55 Mq
â‚¬ 190.000,Bilocale in vendita,"Gessate, Via Giacomo Matteotti",2 locali,74 Mq
â‚¬ 140.000,Bilocale in vendita,"Gessate, Via Giacomo Matteotti",2 locali,60 Mq
â‚¬ 160.000,Bilocale in vendita,"Gessate, Via Giacomo Matteotti",2 locali,60 Mq
â‚¬ 139.000,Trilocale in vendita,"Gessate, Viale Europa",3 locali,80 Mq
â‚¬ 350.000,Trilocale in vendita,"Gessate, Via Angelo Motta",3 locali,117 Mq
â‚¬ 250.000,Quadrilocale in vendita,"Gessate, Via Montello",4 locali,120 Mq
â‚¬ 175.000,Bilocale in vendita,"Gorgonzola, Via Quattro Venti",2 locali,67 Mq
â‚¬ 110.000,Bilocale in vendita,"Gorgonzola, Via Giovanni Pascoli",2 locali,42 Mq
â‚¬ 75.000,Monolocale in vendita,"Gorgonzola, Via IV Novembre",1 locale,42 Mq
â‚¬ 220.000,Trilocale in vendita,"Gorgonzola, Via aldo moro",3 locali,92 Mq
â‚¬ 165.000,Monolocale in vendita,"Gorgonzola, Via Giuseppe di Vittorio",1 locale,61 Mq
â‚¬ 235.000,Trilocale in vendita,"Gorgonzola, Via Aldo Moro",3 locali,92 Mq
â‚¬ 190.000,Trilocale in vendita,"Gorgonzola, Via Enrico Mattei",3 locali,98 Mq
â‚¬ 450.600,Villa a schiera in vendita,"Gorgonzola, Via Liguria",,283 Mq
â‚¬ 190.000,Trilocale in vendita,"Gorgonzola, Via della Ronchetta",3 locali,98 Mq
â‚¬ 180.000,Trilocale in vendita,"Gorgonzola, Via Enrico Mattei",3 locali,91 Mq
â‚¬ 225.000,Trilocale in vendita,"Gorgonzola, Via Sandro Pertini",3 locali,85 Mq
â‚¬ 420.000,Trilocale in vendita,"Gorgonzola, Via Molino Vecchio",3 locali,128 Mq
â‚¬ 184.000,Trilocale in vendita,"Gorgonzola, Via enrico mattei",3 locali,90 Mq
â‚¬ 199.000,Trilocale in vendita,"Gorgonzola, Via Dante Alighieri",3 locali,85 Mq
â‚¬ 320.000,Trilocale in vendita,"Gorgonzola, via dei Chiosi",3 locali,143 Mq
â‚¬ 69.000,Bilocale in vendita,"Grezzago, Via Cavour",2 locali,67 Mq
â‚¬ 265.000,Casa indipendente in vendita,"Grezzago, Via Roma",4 locali,260 Mq
â‚¬ 145.000,Trilocale in vendita,"Grezzago, Via Lazio",3 locali,81 Mq
â‚¬ 139.000,Trilocale in vendita,"Grezzago, Via Lazio",3 locali,93 Mq
â‚¬ 160.000,Trilocale in vendita,"Grezzago, Via Italia",3 locali,91 Mq
â‚¬ 120.000,Bilocale in vendita,"Grezzago, Piazza S. Martino",2 locali,60 Mq
â‚¬ 85.000,Casa di corte in vendita,"Grezzago, Via Cavour",2 locali,83 Mq
â‚¬ 11.000,Box / posti auto in vendita,"Grezzago, Via Lazio",,17 Mq
â‚¬ 89.000,Casa di corte in vendita,"Grezzago, Via Cavour",3 locali,70 Mq
â‚¬ 105.000,Casa di corte in vendita,"Grezzago, Via Cavour",3 locali,80 Mq
â‚¬ 39.000,Casa di corte in vendita,"Grezzago, Via Cavour",2 locali,101 Mq
â‚¬ 290.000,Villa singola in vendita,"Grezzago, Via Milano",5 locali,195 Mq
â‚¬ 115.000,Trilocale in vendita,"Inveruno, Via Raffaello Sanzio",3 locali,89 Mq
â‚¬ 395.000,Bifamiliare in vendita,"Inveruno, Via Benedetto Croce",4 locali,277 Mq
â‚¬ 135.000,Trilocale in vendita,"Inveruno, Via Milano - Furato",3 locali,107 Mq
â‚¬ 349.000,Quadrilocale in vendita,"Inzago, Via Curie",4 locali,145 Mq
â‚¬ 115.000,Bilocale in vendita,"Inzago, Via E. Montale",2 locali,65 Mq
â‚¬ 285.000,Trilocale in vendita,"Inzago, Via Santa Francesca Cabrini",3 locali,100 Mq
â‚¬ 89.000,Bilocale in vendita,"Inzago, via besana",2 locali,60 Mq
â‚¬ 205.000,Trilocale in vendita,"Inzago, Via tagliamento",3 locali,95 Mq
â‚¬ 235.000,Villa singola in vendita,"Inzago, via dei fiordalisi",2 locali,75 Mq
â‚¬ 189.000,Trilocale in vendita,"Inzago, Via Luigi Pirandello",3 locali,120 Mq
â‚¬ 170.000,Quadrilocale in vendita,"Inzago, Via Vescovo Garibaldo",4 locali,120 Mq
â‚¬ 195.000,Trilocale in vendita,"Inzago, Via Padana Superiore",3 locali,100 Mq
â‚¬ 165.000,Villa singola in vendita,"Inzago, Via della passiflora",3 locali,170 Mq
â‚¬ 175.000,Quadrilocale in vendita,"Inzago, Via  Giovanni Xxiii",4 locali,115 Mq
â‚¬ 90.000,Bilocale in vendita,"Lacchiarella, Via fratelli rosselli",2 locali,80 Mq
â‚¬ 175.000,Trilocale in vendita,"Lacchiarella, Via per zavanasco",3 locali,113 Mq
â‚¬ 285.000,Trilocale in vendita,"Lacchiarella, Strada per Cascina Centenara",3 locali,148 Mq
â‚¬ 88.000,Monolocale in vendita,"Lacchiarella, Via dei giusti",1 locale,50 Mq
â‚¬ 120.000,Trilocale in vendita,"Lacchiarella, Via Carminati",3 locali,100 Mq
â‚¬ 518.000,Quadrilocale in vendita,"Lainate, Via Garbagnate",4 locali,170 Mq
â‚¬ 297.000,Villa a schiera in vendita,"Lainate, Via A. Stradivari - Grancia-Pagliera",3 locali,150 Mq
â‚¬ 378.000,Bifamiliare in vendita,"Lainate, Viale E. Villoresi - Barbaiana",5 locali,180 Mq
â‚¬ 172.000,Trilocale in vendita,"Lainate, Viale Rimembranze",3 locali,90 Mq
â‚¬ 306.000,Quadrilocale in vendita,"Lainate, Viale Rimembranze",4 locali,170 Mq
â‚¬ 193.000,Bilocale in vendita,"Lainate, Via Battisti",2 locali,62 Mq
â‚¬ 169.000,Trilocale in vendita,"Lainate, Via L.Da Vinci",3 locali,105 Mq
â‚¬ 257.000,Porzione di bifamiliare in vendita,"Lainate, Via G. Tiepolo - Barbaiana",5 locali,210 Mq
â‚¬ 530.000,Porzione di trifamiliare in vendita,"Lainate, Via Prima Str. - Barbaiana",4 locali,240 Mq
â‚¬ 178.000,Bilocale in vendita,"Lainate, Via Pogliano - Grancia-Pagliera",2 locali,75 Mq
â‚¬ 125.000,Trilocale in vendita,"Lainate, Via Toscanini",3 locali,105 Mq
â‚¬ 360.000,Bilocale in vendita,"Lainate, Via Don G. Bollini",5 locali,230 Mq
â‚¬ 132.000,Trilocale in vendita,"Lainate, Via Mameli",3 locali,85 Mq
â‚¬ 449.000,Quadrilocale in vendita,"Lainate, Via Versilia - Grancia-Pagliera",4 locali,230 Mq
â‚¬ 374.000,Bifamiliare in vendita,"Lainate, Via Pogliano - Grancia-Pagliera",4 locali,200 Mq
